9,1,40,0
10,3,41,2
5,2,49,2
6,2,40,3
9,1,14,3
10,3,34,3
8,3,36,3
20,1,14,10
6,3,11,10
11,1,37,13
6,2,3,17
9,3,38,19
19,3,38,21
19,1,16,25
18,3,16,25
1,3,34,25
4,3,6,25
8,3,7,31
8,3,25,32
20,3,46,32
4,1,18,34
10,1,38,37
10,2,31,40
15,3,11,40
19,3,33,40
11,2,20,40
1,1,7,49
3,1,43,50
1,1,32,52
1,3,28,54
1,2,22,58
15,2,43,58
16,3,5,60
17,1,25,64
3,2,21,67
5,3,42,68
7,1,27,68
13,1,3,70
16,2,8,74
18,1,49,76
3,1,24,80
20,1,15,83
17,3,15,84
4,3,36,86
5,1,3,88
13,3,29,92
17,1,44,93
18,1,29,95
17,3,26,95
1,1,44,95
13,1,49,96
14,3,50,98
16,1,37,100
12,1,28,100
7,3,48,101
12,2,15,103
7,3,32,106
16,3,9,109
13,1,13,111
3,2,32,111
4,2,32,111
13,1,6,111
12,3,39,111
2,3,10,125
8,3,14,128
20,3,23,129
3,1,38,132
13,3,45,132
15,1,38,134
15,1,1,134
1,2,9,135
5,3,8,139
10,1,7,141
2,2,35,143
15,1,36,145
9,3,21,146
13,3,1,148
17,2,14,151
12,2,28,155
7,3,35,159
14,3,13,163
15,1,33,163
16,3,48,167
16,1,40,167
3,2,50,170
20,1,14,170
19,3,13,170
18,3,49,170
12,3,45,173
16,3,22,176
8,1,8,178
8,3,17,179
6,1,39,188
9,1,18,188
3,1,20,188
6,3,20,188
8,2,30,188
12,3,8,191
19,3,46,191
4,3,38,191
